# Modal-framework frames index. Tab-separated; `#` lines are comments.
#
# GENERATED — do not edit. Every row is derived from the `Modal Framework` pantry group, so the
# index cannot drift from the frames the way a hand-kept list did (see
# `views::modal_framework::index` for the failure that motivated it).
#
# REGENERATE
#   cargo run -q -p wqm-tui --features png-capture,tui-pantry --example mf_frames -- --tsv \
#     > MF-ROUND2-FRAMES.tsv
#
# REPRODUCE A FRAME
#   PNG (all of them):  cargo run -p wqm-tui --features png-capture,tui-pantry \
#                         --example mf_frames -- out/          -> out/<name>.png
#   grid / ANSI (one):  cargo pantry dump "Modal Framework" --variant "<variant>" \
#                         --size <size> > <name>.ans
#   browse:             cargo pantry          (Views tab, group "Modal Framework")
#
# Both instruments render the SAME pantry variant, so they cannot disagree about what was
# drawn. Judge COLOUR from the PNG and GLYPHS/ATTRIBUTES from the grid — png-capture drops
# the `●` radio glyph (wqm#283), U+E0B0 is invisible in most text views, and no still image
# can show SLOW_BLINK.
#
# The theme is Catppuccin Mocha unless the variant says otherwise.
#
name	size	pantry variant	what it shows
mf-00-size-max-window-125x34	125x34	00 size — max window (dump at 125x34, 100x30, 200x40)	Item 0: five columns of page each side, five rows top and bottom, at ANY size. Dump this one at all three to see it hold
mf-00-size-max-window-100x30	100x30	00 size — max window (dump at 125x34, 100x30, 200x40)	Item 0: five columns of page each side, five rows top and bottom, at ANY size. Dump this one at all three to see it hold
mf-00-size-max-window-200x40	200x40	00 size — max window (dump at 125x34, 100x30, 200x40)	Item 0: five columns of page each side, five rows top and bottom, at ANY size. Dump this one at all three to see it hold
mf-01-size-the-minimum-window	44x20	01 size — the minimum window (dump at 44x20)	The floor, derived: border + the four top rows + the three bottom ones + ONE content row. One row less and the viewport is empty
mf-02-size-screen-too-small	40x18	02 size — screen too small (dump at 40x18)	Below the floor there is no window, so the message is not drawn in one. It names the size needed AND the size present, and shortens rather than truncating
mf-03-size-content-sized-not-a-drill-down	125x34	03 size — content-sized, not a drill-down (A)	Item 1's first half: a Configuration-like window is as tall as what it holds, capped by the maximum
mf-04-size-drill-down-at-max-both-bars-125x34	125x34	04 size — drill-down at max, both bars (B)	Item 1's second half: a drill-down opens at the maximum, and a table that cannot shrink gets a horizontal bar as well as a vertical one
mf-04-size-drill-down-at-max-both-bars-100x30	100x30	04 size — drill-down at max, both bars (B)	Item 1's second half: a drill-down opens at the maximum, and a table that cannot shrink gets a horizontal bar as well as a vertical one
mf-06-tint-blue-0-40-lightness-held	125x34	06 tint — blue 0.40, lightness held	PROPOSED. The same hue at the same strength, with L* left where the rung put it: 13 of 15 themes clear the floor, and the two that fail fail untinted too
mf-07-tint-held-on-solarized-dark	125x34	07 tint — held, on Solarized Dark	The adversarial theme: the thinnest ladder of the fifteen, and the one where round 1's SET fill fell below a just-noticeable difference
