rank,name,max_version,downloads,recent_downloads,depends_on_ratatui,updated_at,created_at,repository,description
1,crossterm,0.29.0,166137327,40215615,False,2025-04-05,2018-01-18,https://github.com/crossterm-rs/crossterm,A crossplatform terminal library for manipulating terminals.
2,ratatui,0.30.2,40754202,15216077,False,2026-06-19,2023-02-08,https://github.com/ratatui/ratatui,A library that's all about cooking up terminal user interfaces
3,ratatui-core,0.1.2,13007614,8728087,False,2026-06-19,2024-09-27,https://github.com/ratatui/ratatui,Core types and traits for the Ratatui Terminal UI library.     Widget libraries should use this crate. Applications should use the main Ratatui crate.
4,ratatui-widgets,0.3.2,11958210,8526743,False,2026-06-19,2024-01-19,https://github.com/ratatui/ratatui,A collection of Ratatui widgets for building terminal user interfaces using Ratatui.
5,ratatui-crossterm,0.1.2,11869898,8484157,False,2026-06-19,2024-09-27,https://github.com/ratatui/ratatui,Crossterm backend for the Ratatui Terminal UI library.
6,ratatui-macros,0.7.2,10468431,7129943,False,2026-06-19,2024-01-05,https://github.com/ratatui/ratatui,Macros for Ratatui
7,ratatui-termwiz,0.1.2,8947585,6536343,False,2026-06-19,2024-09-27,https://github.com/ratatui/ratatui,Termwiz backend for the Ratatui Terminal UI library.
8,russh,0.62.4,5243918,2295836,True,2026-07-22,2022-03-13,https://github.com/warp-tech/russh,A client and server SSH library.
9,ansi-to-tui,8.0.1,3996473,1367859,False,2026-01-10,2021-04-30,https://github.com/ratatui/ansi-to-tui,Convert ANSI color and style codes into Ratatui Text
10,tui-textarea,0.7.0,2199004,729078,True,2024-10-22,2022-06-19,https://github.com/rhysd/tui-textarea,tui-textarea is a simple yet powerful text editor widget for ratatui and tui-rs. Multi-line text editor can be easily put as part of your TUI application.
11,tui-logger,0.18.3,2194762,507375,True,2026-07-04,2018-05-19,https://github.com/gin66/tui-logger,Logger with smart widget for the `ratatui` crate
12,tui-input,0.15.3,1720976,458732,True,2026-04-18,2021-11-04,https://github.com/sayanarijit/tui-input,TUI input library supporting multiple backends
13,cursive,0.21.1,1642047,324443,False,2024-08-03,2016-06-25,https://github.com/gyscos/cursive,A TUI (Text User Interface) library focused on ease-of-use.
14,ratatui-termina,0.1.0,1470865,1470865,False,2026-06-19,2026-06-19,https://github.com/ratatui/ratatui,Termina backend for the Ratatui Terminal UI library.
15,burn-tensor,0.21.0,1190319,390760,False,2026-07-29,2022-07-27,https://github.com/tracel-ai/burn/tree/main/crates/burn-tensor,Tensor library with user-friendly APIs and automatic differentiation support
16,burn-derive,0.21.0,1163684,377971,False,2026-07-29,2022-09-04,https://github.com/tracel-ai/burn/tree/main/crates/burn-derive,Derive crate for the Burn framework
17,burn-core,0.21.0,1162449,378167,False,2026-07-29,2023-02-12,https://github.com/tracel-ai/burn/tree/main/crates/burn-core,Flexible and Comprehensive Deep Learning Framework in Rust
