name,verdict,areas,reason,gate,version,ratatui_reqs,license,updated,in_top500_csv,downloads,description
CLI-Rhythm,DROP-APP,,publishes no library target,OK,1.1.3,ratatui^0.30.1,Apache-2.0,2026-06-06,no,,
CLInnections,DROP-APP,,publishes no library target,OK,0.1.1,ratatui^0.30.0,MIT,2026-03-23,no,,
CuTE-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.2,ratatui^0.26.0,GPL-3.0,2024-04-05,yes,5465,
FiTui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.0.1,ratatui^0.26,MIT,2026-07-18,no,,
Jelly,DROP-APP,,publishes no library target,OK,0.2.1,ratatui^0.30,MIT OR Apache-2.0,2026-03-18,no,,
LazySqlite,DROP-APP,,publishes no library target,OK,0.1.1,ratatui^0.30.0,MIT,2026-03-18,no,,
MeiliFinder,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.0.6,ratatui^0.26.1,MIT,2024-04-10,yes,5549,
Neiro,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.1,ratatui^0.29.0,MIT,2025-07-23,no,,
PostDad,DROP-APP,,publishes no library target,OK,0.3.1,ratatui^0.30.0,MIT,2026-02-20,no,,
Raifus,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.24.0,MIT,2025-02-27,no,,
Raijin,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.8,ratatui^0.29.0,MIT,2025-07-03,yes,3933,
SCiPIndex-TUI,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.1,ratatui^0.29.0,MIT,2026-01-14,no,,
SpankLaptop,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.1.1,ratatui^0.26,MIT,2026-04-07,no,,
TermFishing,DROP-APP,,publishes no library target,OK,1.0.2,ratatui^0.30.0,GPL-3.0-or-later,2026-03-18,no,,
ThreatDeck,DROP-APP,,publishes no library target,OK,0.6.0,ratatui^0.30,MIT,2026-06-13,no,,
TidyTUI,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.4,ratatui^0.29.0,MIT,2026-02-20,no,,
TuiWeather,DROP-APP,,publishes no library target,OK,1.0.2,ratatui^0.30.0,MIT,2026-04-20,no,,
a-puzzle-a-day,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.1,ratatui^0.26.0,GPL-2.0-only,2024-03-13,no,,
a-terminal-multiplexer,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.0.2,ratatui^0.26,MIT OR Apache-2.0,2026-07-12,no,,
a2ui,DROP-DOMAIN,,screened on description; unrelated to any wqm surface,OK,0.3.1,ratatui^0.30.1,MIT,2026-06-18,no,,
a2ui-gallery,DROP-APP,,ships binaries (a2ui_gallery),OK,0.3.1,ratatui^0.30.1,MIT,2026-06-18,no,,
a2ui-tui,DROP-DOMAIN,,screened on description; unrelated to any wqm surface,OK,0.3.1,ratatui^0.30.1,MIT,2026-06-18,no,,
a4-cli,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.3.0,ratatui^0.29,non-standard,2026-07-22,no,,
aa-cli,DROP-APP,,ships binaries (aasm),OK,0.0.1-rc.6,ratatui^0.30,Apache-2.0,2026-07-16,no,,
aam,DROP-APP,,publishes no library target,OK,0.4.1,ratatui^0.30.0,GPL-3.0-or-later,2026-07-23,no,,
aang,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT,2026-01-27,no,,
aas-cli,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.26,MIT,2026-06-22,no,,
abacus-rs,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.3,ratatui^0.26,GPL-3.0-or-later,2026-02-25,no,,
abn-gpm,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.1.3,ratatui^0.29.0,MIT,2025-08-13,no,,
absorb,DROP-APP,,publishes no library target,OK,0.1.5,ratatui^0.30.0,MIT,2026-04-11,no,,
abstract-cli,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.9,ratatui^0.29,MIT,2026-05-22,no,,
abt,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.7.1,ratatui^0.29,AGPL-3.0-only,2026-03-03,no,,
abtop,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.5.3,ratatui^0.29,MIT,2026-07-07,no,,
abyss-protocol,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT,2026-02-20,no,,
ac-qu-ai-nt-core,DROP-DOMAIN,,"library, but no wqm surface needs it",NODEP,,,,,yes,7425,
ac-qu-ai-nt-tui-ratatui,DROP-DOMAIN,,screened on description; unrelated to any wqm surface,NODEP,,,,,yes,7760,
acc,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.10.2,ratatui^0.29,GPL-3.0-or-later,2026-06-25,no,,
acevo-shared-memory,DROP-DOMAIN,,screened on description; unrelated to any wqm surface,OK,0.2.0,ratatui^0.30,MIT,2026-05-06,no,,
acme-disk-use,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.3.0,ratatui^0.29,Apache-2.0,2025-12-03,no,,
acorn-tui,DROP-APP,,ships binaries (acorn-tui),OK,0.1.59,ratatui^0.30,MIT,2026-07-05,no,,
actioneer,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.0,ratatui^0.29,MIT,2026-06-13,no,,
actiontui,DROP-APP,,publishes no library target,OK,0.1.3,ratatui^0.30.1,Apache-2.0,2026-06-10,no,,
actually,DROP-APP,,publishes no library target,OK,0.1.5,ratatui^0.30,MIT OR Apache-2.0,2026-03-23,no,,
actui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.1,ratatui^0.29,MIT,2026-06-29,no,,
acuity,DROP-APP,,publishes no library target,OK,0.0.1,ratatui^0.30.0-alpha,MIT,2025-08-11,no,,
adamantite,DROP-APP,,publishes no library target,OK,0.2.2,ratatui^0.30.0,MIT,2026-04-16,no,,
address-artisan,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.4.0,ratatui^0.29.0,MIT,2025-11-25,no,,
adguard-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.5.0,ratatui^0.24.0,MIT,2025-03-10,no,,
adguardian,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.7.0,ratatui^0.20.1,MIT,2026-05-31,no,,
adqa-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.4,ratatui^0.29,MIT,2026-04-19,no,,
aegon-ui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT OR Apache-2.0,2026-05-30,no,,
aer,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.2.0,ratatui^0.29.0,FSL-1.1-MIT,2026-01-27,no,,
aerostream,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.16.5,ratatui^0.26.3,Apache-2.0,2024-05-23,no,,
aesop,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29.0,MIT,2026-03-25,no,,
aethershell,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.7.3,ratatui^0.26,AGPL-3.0-or-later,2026-07-29,no,,
affinidi-messaging-text-client,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.12.0,ratatui^0.29,Apache-2.0,2026-02-26,no,,
afl_runner,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.6.0,ratatui^0.29.0,Apache-2.0,2025-03-14,no,,
ag-tui-text,DROP-DOMAIN,,screened on description; unrelated to any wqm surface,OK,0.13.7,ratatui^0.30.1,Apache-2.0,2026-07-28,no,,
agadir,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.26,GPL-3.0,2024-05-18,no,,
agcodex-ansi-escape,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29.0,Apache-2.0,2025-08-23,no,,
agcodex-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29.0,Apache-2.0,2025-08-24,no,,
agcp,DROP-APP,,publishes no library target,OK,1.3.0,ratatui^0.30,MIT,2026-02-22,no,,
agend-terminal,DROP-APP,,"ships binaries (agend-git,agend-mcp-bridge)",OK,0.11.3,ratatui^0.30,Apache-2.0,2026-07-26,no,,
agenda-timer,DROP-APP,,publishes no library target,OK,1.0.0,ratatui^0.30,BSD-3-Clause,2026-03-12,no,,
agent-air-tui,DROP-DOMAIN,,screened on description; unrelated to any wqm surface,OK,0.7.0,ratatui^0.30,MIT,2026-02-11,no,,
agent-code,DROP-APP,,publishes no library target,OK,0.30.0,ratatui^0.30,MIT,2026-07-29,no,,
agent-config,DROP-DOMAIN,,screened on description; unrelated to any wqm surface,OK,0.4.0,ratatui^0.30,MIT,2026-06-21,no,,
agent-console,DROP-APP,,publishes no library target,OK,0.0.12,ratatui^0.30,MIT OR Apache-2.0,2026-07-29,no,,
agent-core-tui,DROP-DOMAIN,,screened on description; unrelated to any wqm surface,OK,0.6.0,ratatui^0.30,MIT,2026-02-03,no,,
agent-diva-cli,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.4.9,ratatui^0.29,MIT,2026-04-22,no,,
agent-diva-nano,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.4.11,ratatui^0.28,MIT,2026-04-26,no,,
agent-first-pay,DROP-APP,,ships binaries (afpay),OK,0.8.0,ratatui^0.30,MIT,2026-07-22,no,,
agent-monitor-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.3,ratatui^0.29,MIT,2026-06-07,no,,
agent-mux,DROP-APP,,ships binaries (agent-mux),OK,0.1.7,ratatui^0.30.0,MIT,2026-07-09,no,,
agent-procs,DROP-APP,,ships binaries (agent-procs),OK,0.6.2,ratatui^0.30,MIT,2026-03-18,no,,
agent-scaffold,DROP-APP,,publishes no library target,OK,0.0.1,ratatui^0.30,BlueOak-1.0.0,2026-07-10,no,,
agent-skill-tree,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT OR Apache-2.0,2026-06-04,no,,
agent-switcher,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,2.1.0,ratatui^0.29,MIT,2026-06-15,no,,
agent-team-mail-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.45.2,ratatui^0.29,MIT OR Apache-2.0,2026-03-17,no,,
agent-teams,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT,2026-02-12,no,,
agent-teleporter,DROP-APP,,publishes no library target,OK,0.1.0,ratatui^0.30.2,MIT,2026-07-19,no,,
agent-terminal,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT,2026-03-30,no,,
agent-trace,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui=0.29.0,MIT,2026-06-17,no,,
agent-transcript,DROP-APP,,publishes no library target,OK,0.1.1,ratatui^0.30.0,GPL-3.0-or-later,2026-06-13,no,,
agent-undo,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.0.3,ratatui^0.26,Apache-2.0,2026-04-08,no,,
agent-witness,DROP-APP,,ships binaries (agent-witness),OK,0.0.6,ratatui^0.30,MIT OR Apache-2.0,2026-07-12,no,,
agentflow-cli,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.2,ratatui^0.29,MIT,2026-02-07,no,,
agentic-core,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.4,ratatui^0.26.2,MIT,2025-08-29,no,,
agentic_ssh,DROP-APP,,publishes no library target,OK,0.4.4,ratatui^0.30,MIT OR Apache-2.0,2026-07-22,no,,
agentick,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.1,ratatui^0.29,MIT,2026-03-09,no,,
agentmux,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.8.0,ratatui^0.29.0,Apache-2.0,2026-06-27,no,,
agentop,DROP-APP,,ships binaries (agentop),OK,1.0.0,ratatui^0.30.0,MIT,2026-04-21,no,,
agentos-tui,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.29,MIT,2026-05-14,no,,
agentpack,DROP-APP,,ships binaries (agentpack),OK,0.9.1,ratatui^0.30.0,MIT,2026-01-24,no,,
agentport,DROP-APP,,ships binaries (agentport),OK,0.2.0,ratatui^0.30,MIT,2026-07-19,no,,
agentprey,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.5.0,ratatui^0.29,MIT,2026-03-12,no,,
agentra-cli,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.1,ratatui^0.28,MIT,2026-02-22,no,,
agents-lab-neo,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui=0.26.3,MIT,2026-05-25,no,,
agents-sesame,DROP-APP,,ships binaries (ase),OK,0.1.2,ratatui^0.30.0,MIT,2026-03-01,no,,
agentscope,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.0,ratatui^0.28,non-standard,2026-05-26,no,,
agentsight,DROP-APP,,publishes no library target,OK,0.2.66,ratatui^0.30,MIT,2026-07-26,no,,
agentspec,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.12.0,ratatui^0.29,Apache-2.0,2026-07-19,no,,
agentsync,DROP-APP,,ships binaries (agentsync),OK,1.46.3,ratatui^0.30.0,MIT,2026-05-26,no,,
agentty,DROP-APP,,ships binaries (agentty),OK,0.13.7,ratatui^0.30.1,Apache-2.0,2026-07-28,no,,
agentusage,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.3.0,ratatui^0.29,MIT,2026-07-23,no,,
agentverse,DROP-APP,,ships binaries (agentverse),OK,0.1.8,ratatui^0.30,MIT,2026-03-22,no,,
aghani,DROP-APP,,publishes no library target,OK,0.1.0,ratatui^0.30,MIT,2026-04-06,no,,
agk,DROP-APP,,ships binaries (agk),OK,0.3.0,ratatui^0.30,MIT,2026-06-04,no,,
agtop,DROP-APP,,publishes no library target,OK,2.4.24,ratatui^0.30,MIT,2026-05-15,no,,
agtrace,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.8.0,ratatui^0.29.0,MIT OR Apache-2.0,2026-07-10,no,,
agx-tui,DROP-APP,,ships binaries (agx),OK,0.2.1,ratatui^0.30,MIT OR Apache-2.0,2026-06-19,no,,
ai-agents,DROP-DOMAIN,,"library, but no wqm surface needs it",NODEP,,,,,yes,7807,
ai-agents-cli,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,1.0.0-rc.16,ratatui^0.29,Apache-2.0,2026-07-04,no,,
ai-chain-cli,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.1.3,ratatui^0.29,MIT,2026-03-02,no,,
ai-code-buddy,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.4.20,ratatui^0.29.0,MIT,2025-08-29,yes,2773,
ai-code-guardian,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.11.2,ratatui^0.26,MIT,2026-03-25,no,,
ai-dispatch,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,9.10.0,ratatui^0.29,MIT,2026-07-27,no,,
ai-gateway,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.3.2,ratatui^0.29.0,Apache-2.0,2025-09-30,no,,
ai-ipc,DROP-APP,,publishes no library target,OK,0.3.1,ratatui^0.30,non-standard,2026-04-05,no,,
ai-playground,DROP-APP,,"ships binaries (aip,aip-gatekeeper)",OK,0.8.0,ratatui^0.30,GPL-2.0-or-later,2026-07-20,no,,
ai-spend,DROP-APP,,ships binaries (ai-spend),OK,0.1.7,ratatui^0.30,MIT OR Apache-2.0,2026-07-29,no,,
ai-usagebar,DROP-APP,,"ships binaries (ai-usagebar,ai-usagebar-tui)",OK,0.20.1,ratatui^0.30.1,MIT,2026-07-30,no,,
aibundle,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.7.8,ratatui^0.29.0,MIT,2025-08-16,no,,
aichat-search,DROP-VERSION,,current release predates the ratatui 0.30.2 sibling set,OLD,0.3.1,ratatui^0.29,MIT,2026-02-15,no,,
aicx,DROP-APP,,"ships binaries (aicx,aicx-mcp)",OK,0.10.0,ratatui^0.30,BUSL-1.1,2026-07-05,no,,
